,Brand,Capacity,Network Support,Operating System,Screen Size
312,21,2500,3,18,5.0
313,45,3000,3,11,5.0
314,5,5000,3,13,5.5
315,8,5020,3,8,6.0
316,23,2000,1,5,4.0
317,40,3500,3,17,6.2
318,23,2900,3,7,5.5
319,40,3300,3,12,5.5
320,11,3100,3,11,5.5
321,19,4000,3,11,5.0
322,29,3500,3,11,5.0
323,4,3410,3,9,5.4
324,16,4000,0,24,2.8
325,21,3000,0,24,2.4
326,43,3050,3,18,5.5
327,23,5100,3,12,5.5
328,21,1000,0,24,2.4
329,8,2670,3,15,5.45
330,8,3000,3,13,5.0
331,23,3500,3,12,5.0
332,25,2000,3,8,4.5
333,40,2600,1,1,5.25
334,26,3000,3,13,5.2
335,29,3510,3,12,5.5
336,40,3500,3,13,6.2
337,40,2600,3,9,5.0
338,8,1850,1,5,4.5
339,28,2700,3,18,5.34
340,40,3000,3,17,5.6
341,23,4000,3,15,5.2
342,41,2900,3,11,5.2
343,16,2400,3,13,5.0
344,49,2500,3,4,5.5
345,30,2070,1,4,5.0
346,28,3000,3,16,5.5
347,27,2000,3,8,5.0
348,10,2600,3,6,5.5
349,43,4000,3,18,6.0
350,35,2420,3,8,5.0
351,10,3000,3,11,5.5
352,31,3000,3,15,5.2
353,27,1800,3,11,4.5
354,22,3000,3,11,5.5
